id_criptografado,nome_subar
af3fa54b6fd5471cd88b7a0553f375f584bfbfde48d0988e604a2ea981102ee5,Praia de Botafogo - Rua Marquês de Abrantes
f875e70793439ad5701abcc8b99e42c3d8a837601b90ca3b414d134a95bd671f,Metrô Botafogo - Rua São Clemente - Rua Voluntários da Pátria
bbd6609dca44cf89a20068ab2132b04323b66df295daee145f64163359503fc6,Rodoviária - Terminal Gentileza - Estação Leopoldina
292512749e10063b8fbb5f6378525d13cf744b0c44d9ce314fc0a7fbcc5b508a,Rodoviária - Terminal Gentileza - Estação Leopoldina
b82438f9e8486039718e642f6462f1e3cf821a3ce61b56dfb455ff8399603ab2,Estações São Francisco Xavier - Afonso Pena
fb4f5c0cab9443ef6b9c4bb557b805fa3d0f42c3b24b3d423af1f9ccb4223891,Rodoviária - Terminal Gentileza - Estação Leopoldina
f317bab8dc2b37f2476a9cacaa0e16c85e155229929594b896b0d6f9fc00679e,Metrô Botafogo - Rua São Clemente - Rua Voluntários da Pátria
4c539cdc451c706502b99c557e541e8b17f0d782d1794805f9e90eeceaccb676,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
d0db5908f68867869ed1954f9ea4cd7116e65767e18a5e13f0a39a9bcc9612ff,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
5639ed4af106d0fc09671f4c4069de212b1474cf4736bd957d638112395c2104,Metrô Botafogo - Rua São Clemente - Rua Voluntários da Pátria
cd96eecaf7d2da7a583d2eb91a82ba2ae88458f27465cf66398db2c8b1b2bdb2,Rodoviária - Terminal Gentileza - Estação Leopoldina
20f02e5457240d2ea26c242246a6c229536e1f836faaf6d8ed9d5ffd05051bf0,Rodoviária - Terminal Gentileza - Estação Leopoldina
5d74b0dc1471a328616aa0538cffd63fb42bfd71d5b8d4ee437d7ab21a680939,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
336d14d6f901fd5b7bc84d7d49f18f53a0b79b44a04b996d75b4c21c7d3c5ae8,Estações São Francisco Xavier - Afonso Pena
4c68e42cf5db72c9ccf4c7c84cd26b85188fe5132521c4721e5dd51d6fd2b941,Estações São Francisco Xavier - Afonso Pena
30be49e5f738757a54a6a2b728fc17df51dfb84207d7b1d2872cc1c33738ea25,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
9d93347972ec2f48ce7eaee9810f6123ece553b640f67a34c839f11f673dfa20,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
369e4cda9e342e63d7d9e8e0356318444e79093a875a09dc0fd144f965ee3245,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
685bb18da55b6569c7d85c92c21c66b0b74ff9a191477f961d4ed8beae690a0a,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
051e348915ce2f7eab4b42d20ec47e479de169f2e6d298c52a0e08c73c0c9e01,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
f351083a88035926a5b3684b9d7252c9b8191b53fad4d1ae7a9cc26a2259a75c,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
098f84f099caa236750147d0ff5e3ae6e60ee84ea69790e33ce1bdfe16df4df4,Metrô Botafogo - Rua São Clemente - Rua Voluntários da Pátria
d74151d25d8c109128ccd97363a68ef07a98e036f0b52744008ebdede5cee927,Praia de Botafogo - Rua Marquês de Abrantes
ce595cea8ee7b8308163c03cf9616bf2cc274b277e98d1b3ca19e17decebe882,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
65c8a4504d5d8ad90487caf06081de007f5164f9446c24db0d7a319cd4e6a42b,Campo Grande: Estação de Trem - Calçadão
307a2bdd7160354625213fe5c2bd45982e711c877c3ddff4fd52440e364eafde,Rodoviária - Terminal Gentileza - Estação Leopoldina
5b1479b3a440d4985ef888b48e8a297c7014d745dbff26e31014aa385f14f9bb,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
32a0303a19feb63e54069e0468f882a7dfac3555f81a7afedc34d3e4d2f46e59,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
bbe6de226f0ba70de37e54b18ab8b0039ed758537109a56fe12783b02ca8068a,Metrô Botafogo - Rua São Clemente - Rua Voluntários da Pátria
0e04bf2fbb43e9986bbc68353ffe257d6d246c43f9a0f2438c3cc40f7bffe4ea,Estações São Francisco Xavier - Afonso Pena
51636fd5a48340f1d2f8349ac5ed7fcf9e33ccac2c3e143db20a11425d6070d9,Rodoviária - Terminal Gentileza - Estação Leopoldina
5d1922be5f9473560cbee74e95b668800eadc335511277516861f565e01484ca,Jardim de Alah
76dab6aa759849456239de8ac7aa2fbe4c0ebecf765070fe4a5fd6db1a96050b,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
ceaf9cde4f5e778626dba4a33c66cf7cdabbe814d211be27a465439df3bf2d48,Estações São Francisco Xavier - Afonso Pena
49b140521227576ad0bcc259dd6c9cdfadb2e42ed5300ba6db2243217773fba9,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
933c113d2d175ca8f48c40a3423b805a3fa0bde32fbfd2b9727bff4723d15459,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
0229446e451dc29107d3f5a11ed65f67b214e5db970c506e077047580cbfdc8c,Estações São Francisco Xavier - Afonso Pena
0bcc99c7842c96ddc5dbef8fe5c396ee9c23c6dfae80a96bf2cd87e01ac71695,Campo Grande: Estação de Trem - Calçadão
79e6427926d2a37fa6aa2e8641d2fc5d853b41f082c126805b34964f6b18db6f,Praia de Botafogo - Rua Marquês de Abrantes
e3608f8b7f3c39a4201e953ca70c4bde8ddc3b346478c7164dd071872f27d83d,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
965d80362742ff4986f9b210aaf43fb5452d3fe73c5670303f4012ec35462bc4,Metrô Botafogo - Rua São Clemente - Rua Voluntários da Pátria
a507468031fbfab91bc31f3be5092d801661ce2008560e3882d8ff7a5946b37b,Estações São Francisco Xavier - Afonso Pena
1c5ab812cc55e6e445a510e3cfc7aa98ae3d8734aa4d7510f40233d6479cc7a2,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
13b4a1d7a86a8fc96265d6386cb13c123b0b3149acf33f2e72dfeb8ebe65cc81,Estações São Francisco Xavier - Afonso Pena
1be485ef9bf78d67abb03dbb9c65aef3f816a0d5af9c993e4e3f6fcc375003f2,Rodoviária - Terminal Gentileza - Estação Leopoldina
cc3caddc8861120267bc1be3b0349a1b6778aad27e5025b07c39170cc603475e,Rio Sul
b91b5ca822fb0fa31acaebef6975d61e987c893c5ca927d28a5260ec76e11631,Jardim de Alah
c88c359b8ff5a71cedeea775a0aa8f34696fa2246e5c21bdb041e36b0ef25a41,Rodoviária - Terminal Gentileza - Estação Leopoldina
48e18fec0504ec6f5679bb7bcafc098247a4745e89e159b3a8c77604aca780f9,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
cafcfd0b947797594caf142bc09b328f463b54936c80208a71ebdf834a331829,Estações São Francisco Xavier - Afonso Pena
d2798b96cdcf875a083de5229e526f45c06f1da03ff00963f20a9d422d5641ab,Rodoviária - Terminal Gentileza - Estação Leopoldina
